stime,Mtot,MtotHI,MtotH2,MtotCO,MtotHe,Mtotp,MtotCO,MtotCp,MtotC,ntotH,ntotCsp,ntotHI,ntotH2,ntotCO,ntotHe,ntotp,ntotCO,ntotCp,ntotC
1.0,30540.60014918742,21566.843527850266,223.84323146862707,0.00012183704769842444,8631.785706207567,118.1276847652406,0.00012183704769842444,39.99940534193172,0.03535718069589556,903281.8809826908,139.0097733975875,898618.4803270944,4663.400655596398,0.0001813051305036078,89914.43443966215,4921.986865218359,0.0001813051305036078,138.8868241039296,0.12276798852741515
2.0,55907.278914399794,38544.1263486143,1423.3747914901192,0.10516745379100989,15801.248862640681,138.52891296205902,0.10516745379100989,73.08353980347948,0.15865511949194774,1635658.906014973,254.46967600306206,1606005.2645255956,29653.64148937748,0.1564991871890028,164596.34231917374,5772.038040085793,0.1564991871890028,253.76229098430377,0.5508858315692631
3.0,79532.0007492578,53048.290819679925,3865.9868761043795,0.46781036086031796,22478.380289749715,139.34276341746485,0.46781036086031796,103.70346369977014,0.35229263548307976,2290886.844072171,362.0008558677349,2210345.4508199967,80541.39325217457,0.6961463703278542,234149.79468489287,5805.948475727702,0.6961463703278542,360.08147117975744,1.2232383176495827
4.0,105156.38738750265,67900.39279610355,7386.652086477433,2.010137594181646,29720.67998946162,148.66251545228653,2.010137594181646,136.34207316885548,0.6429342578428043,2983071.618305927,478.6336630800759,2829183.033170981,153888.5851349465,2.991276181817926,309590.41655689187,6194.271477178606,2.991276181817926,473.40997628074825,2.232410617509737
5.0,128967.09924856902,80547.19976540917,11827.2620070309,3.6458853032704317,36450.37758305849,142.2598939816176,3.6458853032704317,166.62833590227464,0.8683908852422801,3602534.615371859,587.0112814595386,3356133.323558715,246401.2918131438,5.425424558438142,379691.43315685925,5927.495582567401,5.425424558438142,578.570610771787,3.015246129313473
6.0,154459.17427217113,93506.1869174102,17153.434348812527,7.237739130277347,43655.28239088985,144.27061576241846,7.237739130277347,197.9598395144938,1.4143382165935323,4253454.337159019,703.0418955895057,3896091.1215587575,357363.215600261,10.77044513434129,454742.5249051026,6011.275656767435,10.77044513434129,687.3605538697701,4.910896585394209
7.0,178459.94756154678,104136.18725661736,23744.117261892978,13.171532023275534,50438.69946304377,140.94358063933743,13.171532023275534,225.98601422833298,2.30697933968722,4833676.911981827,812.2844995267699,4339007.802359056,494669.10962277045,19.60049408225526,525403.119406706,5872.649193305725,19.60049408225526,784.6736605150451,8.010344929469513
8.0,203801.69295888225,114948.62476067872,31108.18921014547,22.068388102268315,57601.11445108353,143.7645360760594,22.068388102268315,254.51202803506308,3.187719563064704,5437613.30690631,927.6306535187,4789526.031694946,648087.2752113639,32.83986324742309,600011.6088654535,5990.189003169141,32.83986324742309,883.7223195661911,11.068470705085778
9.0,227903.62706131142,123954.10242229498,39393.31169355684,29.79617405657325,64413.11698508166,143.09595660979107,29.79617405657325,282.13356723855975,3.848702532492518,5985448.261211392,1037.3335369876413,5164754.267595624,820693.9936157675,44.33954472704353,670969.9685946006,5962.33152540796,44.33954472704353,979.6304418005544,13.363550460043466
10.0,253334.72811290776,133712.3714527088,47874.29205093776,37.066272228032624,71600.7870122563,147.27759444157914,37.066272228032624,311.8190933230719,4.384173488517075,6568729.894924071,1153.086152958939,5571348.810529534,997381.0843945367,55.158143196477106,745841.5313776699,6136.566435065796,55.158143196477106,1082.7051851495553,15.22282461290651
11.0,277379.97748911986,142059.73256764736,56776.78233577934,46.59094270290698,78396.76908215298,146.69350494640256,46.59094270290698,338.12968476484974,5.511705710475888,7102005.155647376,1262.5310324583336,5919155.523651972,1182849.631995403,69.33175997456395,816633.0112724269,6112.229372766773,69.33175997456395,1174.061405433506,19.137867050263498
12.0,302694.653430065,150810.22744487636,66181.16190735457,61.382680817757716,85551.53769427467,151.7263827779484,61.382680817757716,363.0939976600133,7.392311638810377,7662533.683273069,1377.7540712028965,6283759.476869849,1378774.20640322,91.34327502642518,891161.8509820277,6321.932615747849,91.34327502642518,1260.743047430602,25.667748745869368
13.0,326468.3805206986,157319.54793581285,76726.64710451834,83.91238345545683,92270.7753753485,151.41010175537502,83.91238345545683,381.9079011846375,10.08699430894983,8153452.978669668,1485.9630053677988,6554981.163992202,1598471.8146774655,124.86961823728694,961153.9101598803,6308.754239807293,124.86961823728694,1326.0691013355472,35.02428579496469
14.0,351507.73179239675,163807.3386057714,88197.29065028491,107.84976735281774,99347.72525762743,155.3772795821888,107.84976735281774,401.503684986957,13.055555767351454,8662749.330454744,1599.9325334020891,6825305.775240475,1837443.5552142684,160.49072522740732,1034872.1381002857,6474.053315924534,160.49072522740732,1394.1100173158227,45.331790858859215
15.0,375018.5143277343,168194.7406125563,100677.40015139082,134.3415442980458,105992.64459162038,153.72897276247252,134.3415442980458,416.4509478770695,17.57408809283497,9105560.028677154,1706.9443872437837,7008114.192189846,2097445.8364873086,199.9130123482824,1104090.047829379,6405.373865103022,199.9130123482824,1446.0102356842688,61.02113921123251
16.0,399756.58249995793,172158.8651619031,114454.72879273191,170.29436158517038,112984.42272094676,158.56582501009336,170.29436158517038,427.91405961738656,23.130664325356125,9557759.564927876,1819.5417422394394,7173286.0484126285,2384473.5165152485,253.41422854936067,1176921.070009862,6606.909375420557,253.41422854936067,1485.8127070048145,80.31480668526433
17.0,422975.7288030161,173015.4805261044,130254.71978629245,220.64197959134978,119546.91064509038,158.61783721457277,220.64197959134978,431.01380473157735,28.89017814394692,9922618.350802109,1925.2251085826977,7208978.355254349,2713639.9955477603,328.3362791537943,1245280.3192196914,6609.076550607198,328.3362791537943,1496.5757108735322,100.31311855537123
18.0,447097.8823084963,172988.65841511879,147580.61746335748,277.3149849488756,126364.61651960429,163.9899099455623,277.3149849488756,432.451981917615,34.78403178980828,10282456.964449897,2035.0183783723164,7207860.767296617,3074596.197153281,412.6711085548744,1316298.088745878,6832.912914398427,412.6711085548744,1501.5693816583855,120.77788815905652
19.0,469960.2346312432,170510.59046232403,166462.21850459426,340.0608016247024,132826.27543233574,161.1502597060857,340.0608016247024,428.1354499629093,42.17831748104545,10572570.821442546,2139.076774296523,7104607.935930167,3467962.8855123795,506.04285956056907,1383607.0357534972,6714.594154420239,506.04285956056907,1486.581423482324,146.45249125363003
20.0,493372.282665733,166237.4465373702,187525.8932475909,412.2813172563346,139443.2890004475,165.65389053186732,412.2813172563346,418.7759896739567,51.27504445556318,10833349.71504857,2245.635511247839,6926560.272390426,3906789.4426581436,613.5138649647837,1452534.2604213282,6902.245438827805,613.5138649647837,1454.0832974790164,178.03834880403883
21.0,515580.2396011933,159389.7759964616,210307.70202015707,498.73982811371684,145720.01370871515,162.74784937250345,498.73982811371684,400.98236549785383,61.12645389711871,11022651.125272505,2346.716875052559,6641240.666519232,4381410.458753272,742.1723632644596,1517916.809465783,6781.160390520978,742.1723632644596,1392.2998802008815,212.2446315872177
22.0,537717.2131835169,151986.6871460773,233586.59094482433,592.4334376595871,151976.58549772773,167.34953424452465,592.4334376595871,380.1920760131369,70.77948569023886,11199165.94243706,2447.4708556063447,6332778.631086555,4866387.311350506,881.5973774696234,1583089.4322679972,6972.897260188526,881.5973774696234,1320.1113750456138,245.76210309110715
23.0,559445.8593441782,142928.4337315452,258235.3183662788,690.3517111301101,158117.55366599018,164.55350200854005,690.3517111301101,357.67868143385203,79.80883742842131,11335253.87144519,2546.3629788820654,5955351.405481049,5379902.465964142,1027.3090939436163,1647057.8506873979,6856.395917022502,1027.3090939436163,1241.9398660897639,277.11401884868513
24.0,581056.8808665755,134707.820015629,281954.73144903756,786.1765541496233,164225.42974322377,168.8999154510663,786.1765541496233,335.672044127921,89.07429404560261,11486882.739172826,2644.7192607458014,5612825.833984543,5874056.905188283,1169.9055865321775,1710681.5598252474,7037.496477127763,1169.9055865321775,1165.5279309997259,309.285743213898
25.0,603256.5146675794,126254.73843949726,306336.4513240059,895.9129365542042,170499.79906499726,165.52542198938244,895.9129365542042,310.1005876253456,96.71548104188116,11642623.504229173,2745.7595686176587,5260614.101645718,6382009.402583456,1333.2037746342323,1776039.5735937215,6896.892582890935,1333.2037746342323,1076.7381514768945,335.8176425065318
